1: */
2: AF_NETLINK
3: AF_PACKET
4: ARCHDATAM
5: ARCHIVE_REPLACE_VIA_RENAME
6: ARPHRD_ATM
7: ARPHRD_DDCMP
8: ARPHRD_HWX25
9: ARPHRD_IEEE1394
10: ARPHRD_IEEE80211
11: ARPHRD_IEEE802_TR
12: ARPHRD_INFINIBAND
13: ARPHRD_VOID
14: ATOMIC_USER
15: B1000000
16: B115200
17: B1152000
18: B1500000
19: B19200
20: B2000000
21: B230400
22: B2500000
23: B3000000
24: B3500000
25: B38400
26: B4000000
27: B460800
28: B500000
29: B57600
30: B576000
31: B921600
32: BASE_MD
33: BLOAT
34: BUT_UTIL_LINUX_LAST_HAS_NO_SUCH_OPT
35: CBAUD
36: CBAUDEX
37: CIBAUD
38: CMSPAR
39: CRTSCTS
40: CUSTOMIZED_BANNER
41: DEBUG
42: DEBUGGING
43: DEBUG_PSCAN
44: DEBUG_RECURS_ACTION
45: DNS_COMPR_TESTING
46: DOTRACE
47: DO_FLUSHCACHE
48: DUMP_BL_TREE
49: EM_MIPS_RS4_BE
50: ENABLE_COMPRESSION
51: ENDIAN_BIG
52: ETH_P_ATMFATE
53: ETH_P_ATMMPOA
54: ETH_P_ECONET
55: ETH_P_IEEEPUP
56: ETH_P_IEEEPUPAT
57: ETH_P_PPP_DISC
58: ETH_P_PPP_SES
59: ETH_P_PUPAT
60: EXAMPLE_CODE_FOR_MEM_TO_MEM_COMPRESSION
61: FLUSH_IS_UNUSED
62: GPROF
63: HAVE_AFINET6
64: HAVE_ATF_DONTPUB
65: HAVE_ATF_MAGIC
66: HAVE_CONFIG_H
67: HAVE_CRL
68: HAVE_DYNAMIC
69: HAVE_ECC
70: HAVE_MAX_FRAGMENT
71: HAVE_NET_ETHERNET_H
72: HAVE_PK_CALLBACKS
73: HAVE_POLY1305
74: HAVE_SECURE_RENEGOTIATION
75: HAVE_SESSION_TICKET
76: HAVE_SNI
77: HAVE_TRUNCATED_HMAC
78: HAVE_TXQUEUELEN
79: HDIO_DRIVE_CMD
80: HDIO_GET_QDMA
81: HDIO_SET_QDMA
